
Using cache found in /home/daniel/.cache/torch/hub/pytorch_vision_v0.10.0
['features', 'avgpool', 'classifier']
******** Training ********
tensor(1.5936, grad_fn=<NllLossBackward0>)
tensor(0.2016, grad_fn=<NllLossBackward0>)
tensor(0.3003, grad_fn=<NllLossBackward0>)
tensor(0.3292, grad_fn=<NllLossBackward0>)
tensor(0.4598, grad_fn=<NllLossBackward0>)
tensor(0.3880, grad_fn=<NllLossBackward0>)
tensor(0.3873, grad_fn=<NllLossBackward0>)
tensor(1.4849, grad_fn=<NllLossBackward0>)
tensor(1.7449, grad_fn=<NllLossBackward0>)
tensor(1.8155, grad_fn=<NllLossBackward0>)
tensor(0.4796, grad_fn=<NllLossBackward0>)
tensor(0.2754, grad_fn=<NllLossBackward0>)
tensor(0.3642, grad_fn=<NllLossBackward0>)
tensor(1.6319, grad_fn=<NllLossBackward0>)
tensor(0.4251, grad_fn=<NllLossBackward0>)
tensor(0.3739, grad_fn=<NllLossBackward0>)
tensor(0.1564, grad_fn=<NllLossBackward0>)
tensor(0.1992, grad_fn=<NllLossBackward0>)
tensor(1.5046, grad_fn=<NllLossBackward0>)
tensor(0.0662, grad_fn=<NllLossBackward0>)
tensor(0.2436, grad_fn=<NllLossBackward0>)
tensor(0.1123, grad_fn=<NllLossBackward0>)
tensor(0.1643, grad_fn=<NllLossBackward0>)
tensor(0.1098, grad_fn=<NllLossBackward0>)
tensor(0.1043, grad_fn=<NllLossBackward0>)
tensor(2.2350, grad_fn=<NllLossBackward0>)
tensor(6.9791, grad_fn=<NllLossBackward0>)
tensor(0.0205, grad_fn=<NllLossBackward0>)
tensor(0.1512, grad_fn=<NllLossBackward0>)
tensor(0.1399, grad_fn=<NllLossBackward0>)
tensor(2.5778, grad_fn=<NllLossBackward0>)
tensor(0.3274, grad_fn=<NllLossBackward0>)
tensor(0.4083, grad_fn=<NllLossBackward0>)
tensor(0.2150, grad_fn=<NllLossBackward0>)
tensor(0.3904, grad_fn=<NllLossBackward0>)
tensor(1.5416, grad_fn=<NllLossBackward0>)
tensor(0.3649, grad_fn=<NllLossBackward0>)
tensor(0.4155, grad_fn=<NllLossBackward0>)
tensor(0.2766, grad_fn=<NllLossBackward0>)
tensor(1.7546, grad_fn=<NllLossBackward0>)
tensor(0.2327, grad_fn=<NllLossBackward0>)
tensor(1.5022, grad_fn=<NllLossBackward0>)
tensor(0.4283, grad_fn=<NllLossBackward0>)
tensor(0.5762, grad_fn=<NllLossBackward0>)
tensor(0.3017, grad_fn=<NllLossBackward0>)
tensor(0.4040, grad_fn=<NllLossBackward0>)
tensor(0.4167, grad_fn=<NllLossBackward0>)
tensor(0.2616, grad_fn=<NllLossBackward0>)
tensor(0.6202, grad_fn=<NllLossBackward0>)
tensor(0.1801, grad_fn=<NllLossBackward0>)
tensor(0.3095, grad_fn=<NllLossBackward0>)
tensor(0.2438, grad_fn=<NllLossBackward0>)
tensor(2.0000, grad_fn=<NllLossBackward0>)
tensor(1.8947, grad_fn=<NllLossBackward0>)
tensor(0.3373, grad_fn=<NllLossBackward0>)
tensor(0.0891, grad_fn=<NllLossBackward0>)
tensor(0.3010, grad_fn=<NllLossBackward0>)
tensor(0.0931, grad_fn=<NllLossBackward0>)
tensor(2.0913, grad_fn=<NllLossBackward0>)
tensor(0.2266, grad_fn=<NllLossBackward0>)
tensor(0.1753, grad_fn=<NllLossBackward0>)
tensor(1.5206, grad_fn=<NllLossBackward0>)
tensor(0.2047, grad_fn=<NllLossBackward0>)
tensor(0.3181, grad_fn=<NllLossBackward0>)
tensor(0.1550, grad_fn=<NllLossBackward0>)
tensor(2.4620, grad_fn=<NllLossBackward0>)
tensor(0.4783, grad_fn=<NllLossBackward0>)
tensor(0.3751, grad_fn=<NllLossBackward0>)
tensor(1.6030, grad_fn=<NllLossBackward0>)
tensor(0.1037, grad_fn=<NllLossBackward0>)
tensor(0.3339, grad_fn=<NllLossBackward0>)
tensor(0.5518, grad_fn=<NllLossBackward0>)
tensor(0.2186, grad_fn=<NllLossBackward0>)
tensor(0.1780, grad_fn=<NllLossBackward0>)
tensor(0.2121, grad_fn=<NllLossBackward0>)
tensor(0.2465, grad_fn=<NllLossBackward0>)
tensor(0.2245, grad_fn=<NllLossBackward0>)
tensor(2.5995, grad_fn=<NllLossBackward0>)
tensor(0.0332, grad_fn=<NllLossBackward0>)
tensor(0.1927, grad_fn=<NllLossBackward0>)
tensor(2.0038, grad_fn=<NllLossBackward0>)
tensor(0.0329, grad_fn=<NllLossBackward0>)
tensor(0.1217, grad_fn=<NllLossBackward0>)
tensor(0.3820, grad_fn=<NllLossBackward0>)
tensor(0.2303, grad_fn=<NllLossBackward0>)
tensor(0.1280, grad_fn=<NllLossBackward0>)
tensor(0.4339, grad_fn=<NllLossBackward0>)
tensor(0.0280, grad_fn=<NllLossBackward0>)
tensor(0.0108, grad_fn=<NllLossBackward0>)
tensor(4.2155, grad_fn=<NllLossBackward0>)
tensor(0.1992, grad_fn=<NllLossBackward0>)
tensor(2.0548, grad_fn=<NllLossBackward0>)
tensor(0.1037, grad_fn=<NllLossBackward0>)
tensor(1.4974, grad_fn=<NllLossBackward0>)
tensor(0.6154, grad_fn=<NllLossBackward0>)
tensor(0.4436, grad_fn=<NllLossBackward0>)
tensor(0.3743, grad_fn=<NllLossBackward0>)
tensor(0.5556, grad_fn=<NllLossBackward0>)
tensor(1.4688, grad_fn=<NllLossBackward0>)
tensor(0.3993, grad_fn=<NllLossBackward0>)
tensor(1.3706, grad_fn=<NllLossBackward0>)
tensor(1.2455, grad_fn=<NllLossBackward0>)
tensor(0.3491, grad_fn=<NllLossBackward0>)
tensor(0.4443, grad_fn=<NllLossBackward0>)
tensor(0.7089, grad_fn=<NllLossBackward0>)
tensor(0.2023, grad_fn=<NllLossBackward0>)
tensor(0.2617, grad_fn=<NllLossBackward0>)
tensor(0.0623, grad_fn=<NllLossBackward0>)
tensor(2.2811, grad_fn=<NllLossBackward0>)
tensor(0.4751, grad_fn=<NllLossBackward0>)
tensor(0.0617, grad_fn=<NllLossBackward0>)
tensor(0.4532, grad_fn=<NllLossBackward0>)
tensor(0.2894, grad_fn=<NllLossBackward0>)
tensor(2.3678, grad_fn=<NllLossBackward0>)
tensor(0.2104, grad_fn=<NllLossBackward0>)
tensor(1.8318, grad_fn=<NllLossBackward0>)
tensor(0.4457, grad_fn=<NllLossBackward0>)
tensor(0.1153, grad_fn=<NllLossBackward0>)
tensor(1.5619, grad_fn=<NllLossBackward0>)
tensor(1.6177, grad_fn=<NllLossBackward0>)
tensor(0.1778, grad_fn=<NllLossBackward0>)
tensor(1.4906, grad_fn=<NllLossBackward0>)
tensor(0.2771, grad_fn=<NllLossBackward0>)
tensor(0.4761, grad_fn=<NllLossBackward0>)
tensor(0.1422, grad_fn=<NllLossBackward0>)
tensor(0.1837, grad_fn=<NllLossBackward0>)
tensor(0.0897, grad_fn=<NllLossBackward0>)
tensor(1.7398, grad_fn=<NllLossBackward0>)
tensor(0.7100, grad_fn=<NllLossBackward0>)
tensor(0.1187, grad_fn=<NllLossBackward0>)
tensor(0.6176, grad_fn=<NllLossBackward0>)
tensor(0.3245, grad_fn=<NllLossBackward0>)
tensor(0.6524, grad_fn=<NllLossBackward0>)
tensor(1.6920, grad_fn=<NllLossBackward0>)
tensor(0.5729, grad_fn=<NllLossBackward0>)
tensor(0.4630, grad_fn=<NllLossBackward0>)
tensor(1.4900, grad_fn=<NllLossBackward0>)
tensor(1.5550, grad_fn=<NllLossBackward0>)
tensor(0.1877, grad_fn=<NllLossBackward0>)
tensor(0.6177, grad_fn=<NllLossBackward0>)
tensor(2.1861, grad_fn=<NllLossBackward0>)
tensor(0.0316, grad_fn=<NllLossBackward0>)
tensor(0.5727, grad_fn=<NllLossBackward0>)
tensor(0.5735, grad_fn=<NllLossBackward0>)
tensor(0.0902, grad_fn=<NllLossBackward0>)
tensor(0.3789, grad_fn=<NllLossBackward0>)
tensor(1.6117, grad_fn=<NllLossBackward0>)
